slug,company_name,active_centers,leaders
"aptean","Aptean, Inc.",2,14
"aptify","Aptify Corp.",1,0
"aptiv","Aptiv plc",7,23
"aptos","Aptos, LLC.",1,5
"apttus","Apttus Corp.",4,4
"aqr-capital-management","AQR Capital Management, LLC",1,14
"aramex-pjsc","Aramex PJSC",2,11
"arasan-chip-systems","Arasan Chip Systems, Inc.",2,2
"arcelormittal","ArcelorMittal S.A.",9,22
"arcesium","Arcesium LLC",2,2
"arch-capital-group","Arch Capital Group Ltd.",3,1
"arctic-wolf-networks","Arctic Wolf Networks, Inc.",3,11
"arisglobal","Arisglobal, LLC",1,15
"arista-networks","Arista Networks, Inc.",2,17
"aristocrat-leisure","Aristocrat Leisure Ltd.",1,12
"arm-holdings","Arm Holdings plc",3,27
"arrk","Arrk Ltd.",1,2
"arrow-electronics","Arrow Electronics, Inc",8,9
"ars-traffic-transport-technology-b-v","ARS Traffic & Transport Technology B.V.",1,4
"arthur-j-gallagher-co","Arthur J. Gallagher & Co.",5,23
"arup-group","Arup Group Ltd.",1,1
"ascena-retail-group","Ascena Retail Group, Inc.",1,2
"ascendion","Ascendion Inc.",2,3
"ascendum-solutions","Ascendum Solutions LLC",2,6
"asg-technologies-group","ASG Technologies Group, Inc. (Acquired by Rocket Software, Inc.)",1,11
"ashland","Ashland Inc.",3,7
"ashley-furniture-industries","Ashley Furniture Industries, Inc.",2,11
"assa-abloy-ab","Assa Abloy AB",3,7
"assent","Assent Inc.",1,1
"assicurazioni-generali","Assicurazioni Generali S.p.A.",1,5
"assurant","Assurant, Inc.",1,5
"ast-science","AST & Science, LLC",1,2
"astellas-pharma","Astellas Pharma Inc.",2,2
"astera-labs","Astera Labs Inc.",1,2
"astrazeneca","AstraZeneca plc",4,84
"at-s","AT&S AG",2,5
"at-t","AT&T Inc.",4,109
"athenahealth","Athenahealth, Inc.",3,27
"atkinsrealis-group","AtkinsRealis Group Inc.",3,26
"atlas-copco-ab","Atlas Copco AB",6,20
"atlassian-corporation","Atlassian Corporation plc",2,43
"atmecs-global","Atmecs Global Inc.",1,17
"atmus-filtration-technologies","Atmus Filtration Technologies Inc.",2,3
"atos-se","Atos SE",7,91
"atotech-deutschland-gmbh-co-kg","Atotech Deutschland GmbH & Co. KG",3,9
"audience","Audience, Inc. (Acquired by Knowles Corp.)",1,1
"aurigo-software-technologies","Aurigo Software Technologies, Inc.",3,9
"australia-and-new-zealand-banking-group","Australia and New Zealand Banking Group Ltd.",2,27
"autodesk","Autodesk, Inc.",1,12
"autoliv","Autoliv, Inc.",5,12
"automated-precision-inc-api-metrology","Automated Precision Inc. (API Metrology)",1,1
"automation-anywhere","Automation Anywhere, Inc.",3,50
"autozone","AutoZone, Inc.",1,1
"avacare-health-group","Avacare Health Group",1,3
"availity","Availity, LLC",1,4
"avalara","Avalara, Inc.",3,37
"avantor","Avantor, Inc.",4,12
"avaya","Avaya LLC",4,25
"avery-dennison","Avery Dennison Corp.",7,29
"aveva-group","Aveva Group plc",3,21
"avineon","Avineon, Inc.",2,6
"avl-list","AVL List GmbH",3,14
"avnet","Avnet, Inc.",1,2
"awarebase","AwareBase Corp.",1,1
"axa","AXA S.A.",2,22
"axalta-coating-systems","Axalta Coating Systems, LLC",3,7
"axcelinno","Axcelinno, LLC (Acquired by Mainline Information Systems, LLC)",1,1
"axtria","Axtria, Inc.",9,59
"azul-systems","Azul Systems, Inc.",1,2
"bacardi","Bacardi Ltd.",4,11
"back-office-shared-services-pty","Back Office Shared Services Pty. Ltd.",1,2
"backbase-b-v","Backbase B.V.",1,12
"bain-company","Bain & Company, Inc.",2,27
"baker-hughes-co","Baker Hughes Co.",3,31
"ball","Ball Corp.",3,2
"banca-sella","Banca Sella S.p.A.",1,1
"bank-of-america","Bank of America Corp.",6,310
"barclays","Barclays plc",7,381
"barco-n-v","Barco N.V.",1,54
"barracuda-networks","Barracuda Networks, Inc.",2,10
"barry-callebaut","Barry Callebaut AG",3,18
"barry-wehmiller-design-group","Barry-Wehmiller Design Group, Inc.",1,5
"basf-se","BASF SE",11,73
"bastian-solutions","Bastian Solutions, LLC",2,2
"basware","Basware Corp.",1,6
"bath-body-works","Bath & Body Works, Inc. (Part of L Brands)",2,1
"baumer-holding","Baumer Holding AG",2,8
"baxter-international","Baxter International, Inc.",8,28
"bayer","Bayer AG",17,73
"bayerische-motoren-werke","Bayerische Motoren Werke AG",2,14
"bazaarvoice","Bazaarvoice, Inc.",1,7
"bcd-international","BCD International, Inc.",1,1
"bearingpoint-holding-b-v","BearingPoint Holding B.V.",1,1
"bechtel","Bechtel Corp.",1,6
"beckman-coulter","Beckman Coulter, Inc.",2,6
"becton-dickinson-and-co","Becton, Dickinson and Co.",5,19
"behr-process","Behr Process Corp.",1,4
"beiersdorf","Beiersdorf AG",3,5
"belcan","Belcan, LLC",2,2
"belden","Belden Inc.",4,12
"benison-technologies-pvt","Benison Technologies Pvt. Ltd.",1,5
"bentley-systems","Bentley Systems, Inc.",1,11
"berkadia-proprietary-holding","Berkadia Proprietary Holding LLC",1,11
"bernhard-schulte-shipmanagement","Bernhard Schulte Shipmanagement Ltd.",2,3
"berry-global-group","Berry Global Group, Inc. (Acquired by Amcor plc)",3,25
"best-buy-co","Best Buy Co., Inc.",1,21
"bi-worldwide","BI Worldwide",1,9
"bidgely","Bidgely Inc.",1,6
"biogen","Biogen Inc.",1,3
"birdeye","Birdeye Inc.",1,17
"birst","Birst (Accquired by Infor Inc.)",1,21
"bitwise","Bitwise, Inc.",1,2
"bizmatics","Bizmatics, Inc. (Acquired by N. Harris Computer Corp.)",1,13
"black-box","Black Box Corp.",3,33
"black-veatch-holding-co","Black & Veatch Holding Co.",2,6
"blackberry","BlackBerry Ltd.",3,3
"blackboard","Blackboard Inc. (Merged with Anthology Inc.)",2,5
"blackhawk-network-holdings","Blackhawk Network Holdings, Inc.",1,7
"blackline-systems","BlackLine Systems, Inc.",1,8
"blackrock","BlackRock, Inc.",3,94
"blackstone","Blackstone Inc.",2,19
"blaize","Blaize, Inc.",1,3
"blend360","Blend360, LLC",1,8
"bloom-energy","Bloom Energy Corp.",1,12
"bloomberg-l-p","Bloomberg L.P.",2,6
"bloomreach","Bloomreach, Inc.",1,4
"blue-yonder-group","Blue Yonder Group, Inc.",2,29
"blueconch-technologies","BlueConch Technologies (Part of UST Global Inc.)",2,17
