account_global_legal_name,display_name,industry,cities,centres,leaders,existing_slug,surfaced_by
"Arrk Ltd.","Arrk Ltd.","Automotive","Navi Mumbai",1,3,"","industry: Automotive"
"Arrow Electronics, Inc","Arrow Electronics, Inc","Electronics","Bengaluru; Ahmedabad; Chennai; Hyderabad; Indore; Noida; Pune",8,15,"","city: Noida"
"ARS Traffic & Transport Technology B.V.","ARS Traffic & Transport Technology B.V.","IT Service","Thiruvananthapuram",1,4,"","industry: IT Service"
"Arthur J. Gallagher & Co.","Arthur J. Gallagher & Co.","BFSI","Bengaluru; Kolhapur; Mumbai; Pune; Shimoga",5,27,"","industry: BFSI"
"Arup Group Ltd.","Arup Group Ltd.","Industrial","Gurugram",1,1,"","industry: Industrial"
"Ascena Retail Group, Inc.","Ascena Retail Group, Inc.","Retail & Consumer Goods","Bengaluru",1,2,"","industry: Retail & Consumer Goods"
"Ascendion Inc.","Ascendion Inc.","IT Service","Chennai; Hyderabad",2,8,"","industry: IT Service"
"Ascendum Solutions LLC","Ascendum Solutions LLC","IT Service","Ahmedabad; Bengaluru",2,8,"","industry: IT Service"
"Ashley Furniture Industries, Inc.","Ashley Furniture Industries, Inc.","Retail & Consumer Goods","Bengaluru; Chennai",2,12,"","industry: Retail & Consumer Goods"
"Assa Abloy AB","Assa Abloy AB","Industrial","Chennai; Gurugram; Mumbai",3,11,"","industry: Industrial"
"Assicurazioni Generali S.p.A.","Assicurazioni Generali S.p.A.","BFSI","Mumbai",1,5,"","industry: BFSI"
"Assurant, Inc.","Assurant, Inc.","BFSI","Bengaluru; Chennai",2,8,"","industry: BFSI"
"Astellas Pharma Inc.","Astellas Pharma Inc.","Healthcare Life Sciences & Pharma","Bengaluru; Mumbai",2,2,"","industry: Healthcare Life Sciences & Pharma"
"Astera Labs Inc.","Astera Labs Inc.","Hi-Tech","Bengaluru",1,4,"","industry: Hi-Tech"
"AstraZeneca plc","AstraZeneca plc","Healthcare Life Sciences & Pharma","Bengaluru; Chennai",4,87,"","industry: Healthcare Life Sciences & Pharma"
"AT&T Inc.","AT&T Inc.","Telecom","Bengaluru; Chennai; Gurugram; Hyderabad",4,120,"","industry: Telecom"
"AtkinsRealis Group Inc.","AtkinsRealis Group Inc.","Industrial","Bengaluru; Gurugram; Mumbai",3,29,"","industry: Industrial"
"Atlas Copco AB","Atlas Copco AB","Industrial","Pune; Bengaluru; Hyderabad; Nashik",6,33,"","industry: Industrial"
"Atmecs Global Inc.","Atmecs Global Inc.","IT Service","Hyderabad",1,18,"","industry: IT Service"
"Atmus Filtration Technologies Inc.","Atmus Filtration Technologies Inc.","Industrial","Pune",2,7,"","industry: Industrial"
"Atos SE","Atos SE","IT Service","Bengaluru; Chennai; Gurugram; Navi Mumbai; Pune; Tirunelveli; Vadodara",7,94,"","industry: IT Service"
"Audience, Inc. (Acquired by Knowles Corp.)","Audience, Inc.","Hi-Tech","Bengaluru",1,3,"","industry: Hi-Tech"
"Australia and New Zealand Banking Group Ltd.","Australia and New Zealand Banking Group Ltd.","BFSI","Bengaluru",2,39,"","industry: BFSI"
"Autoliv, Inc.","Autoliv, Inc.","Automotive","Bengaluru; Chennai; Gurugram; Mysuru; Pune",5,13,"","industry: Automotive"
"Automated Precision Inc. (API Metrology)","Automated Precision Inc. (API Metrology)","Industrial","Pune",1,1,"","industry: Industrial"
"AutoZone, Inc.","AutoZone, Inc.","Automotive","Gurugram",1,2,"","industry: Automotive"
"Avacare Health Group","Avacare Health Group","Healthcare Life Sciences & Pharma","Mumbai",1,4,"","industry: Healthcare Life Sciences & Pharma"
"Availity, LLC","Availity, LLC","Healthcare Life Sciences & Pharma","Bengaluru",1,6,"","industry: Healthcare Life Sciences & Pharma"
"Avalara, Inc.","Avalara, Inc.","Software & SaaS","Pune; Noida",3,37,"","city: Noida"
"Avantor, Inc.","Avantor, Inc.","Healthcare Life Sciences & Pharma","Bengaluru; Bharuch; Dehradun; Mumbai",4,11,"","industry: Healthcare Life Sciences & Pharma"
"Avery Dennison Corp.","Avery Dennison Corp.","Industrial","Pune; Bengaluru; Gurugram; Mumbai; Noida",8,30,"","industry: Industrial"
"Avineon, Inc.","Avineon, Inc.","IT Service","Hyderabad; Kakinada",2,8,"","industry: IT Service"
"AVL List GmbH","AVL List GmbH","Automotive","New Delhi; Gurugram",3,16,"","industry: Automotive"
"AwareBase Corp.","AwareBase Corp.","Software & SaaS","Noida",1,2,"","city: Noida"
"AXA S.A.","AXA S.A.","BFSI","Bengaluru; Pune",2,29,"","industry: BFSI"
"Axionet Sarl","Axionet Sarl","IT Service","Bengaluru",1,0,"","industry: IT Service"
"Axtria, Inc.","Axtria, Inc.","Professional Services","Gurugram; Noida; Pune; Bengaluru; Hyderabad",9,62,"","industry: Professional Services"
"Bacardi Ltd.","Bacardi Ltd.","Retail & Consumer Goods","Ghaziabad; Gurugram; Mysuru; Nashik",4,10,"","industry: Retail & Consumer Goods"
"Back Office Shared Services Pty. Ltd.","Back Office Shared Services Pty. Ltd.","Professional Services","Bengaluru",1,2,"","industry: Professional Services"
"Bain & Company, Inc.","Bain & Company, Inc.","Professional Services","Bengaluru; Gurugram",2,28,"","industry: Professional Services"
"Baker Hughes Co.","Baker Hughes Co.","Utilities","Bengaluru; Navi Mumbai",3,36,"","city: Navi Mumbai"
"Bank of America Corp.","Bank of America Corp.","BFSI","Chennai; Gandhinagar; Gurugram; Hyderabad; Mumbai; New Delhi",6,318,"","city: New Delhi"
"Barclays plc","Barclays plc","BFSI","Noida; Pune; Chennai; Gurugram; Mumbai",7,442,"","city: Noida"
"Barry-Wehmiller Design Group, Inc.","Barry-Wehmiller Design Group, Inc.","Industrial","Chennai",1,6,"","industry: Industrial"
"BASF SE","BASF SE","Chemicals","Chennai; Hyderabad; Ankleshwar; Bharuch; Kanchipuram; Kharagpur; Mangaluru; Navi Mumbai; Pune; Thane",12,68,"","city: Navi Mumbai"
"Bath & Body Works, Inc. (Part of L Brands)","Bath & Body Works, Inc. (Part of L Brands)","Retail & Consumer Goods","Bengaluru",2,2,"","industry: Retail & Consumer Goods"
"Baxter International, Inc.","Baxter International, Inc.","Healthcare Life Sciences & Pharma","Ahmedabad; Bengaluru; Gurugram; Aurangabad; Chennai",8,38,"","industry: Healthcare Life Sciences & Pharma"
"Bayerische Motoren Werke AG","Bayerische Motoren Werke AG","Automotive","Chennai; Bengaluru; Gurugram; Pune",5,19,"","industry: Automotive"
"BCD International, Inc.","BCD International, Inc.","Electronics","Ahmedabad",1,2,"","city: Ahmedabad"
"Beckman Coulter, Inc.","Beckman Coulter, Inc.","Healthcare Life Sciences & Pharma","Bengaluru; Mumbai",2,9,"","industry: Healthcare Life Sciences & Pharma"
"Becton, Dickinson and Co.","Becton, Dickinson and Co.","Healthcare Life Sciences & Pharma","Bengaluru; Chandigarh; Gurugram; Rewari; Vellore",5,20,"","industry: Healthcare Life Sciences & Pharma"
"Beiersdorf AG","Beiersdorf AG","Retail & Consumer Goods","Mumbai; Sanand",3,7,"","industry: Retail & Consumer Goods"
