account_global_legal_name,display_name,industry,cities,centres,leaders,existing_slug,surfaced_by
"Compagnie de Saint-Gobain S.A.","Compagnie de Saint-Gobain S.A.","Industrial","Bengaluru; Chennai; Erode; Halol; Mumbai; Nagpur; Navi Mumbai; Palakkad; Solan; Sriperumbudur; Tirupati; Visakhapatnam",13,42,"","city: Navi Mumbai"
"Compagnie Generale des Etablissements Michelin SCA","Compagnie Generale des Etablissements Michelin SCA","Automotive","Chennai; Gurugram; Pune",3,133,"","industry: Automotive"
"Comtrend Corp.","Comtrend Corp.","Telecom","Gurugram",1,0,"","industry: Telecom"
"Continental AG","Continental AG","Automotive","Bengaluru; Kolkata; Faridabad; Gurugram; Meerut; New Delhi; Satara",11,77,"","industry: Automotive"
"ConvergeOne Holdings, Inc.","ConvergeOne Holdings, Inc.","Telecom","Hyderabad",1,11,"","industry: Telecom"
"Cooper-Standard Holdings Inc.","Cooper-Standard Holdings Inc.","Automotive","Pune",1,3,"","industry: Automotive"
"Copart, Inc.","Copart, Inc.","Automotive","Hyderabad",1,10,"","industry: Automotive"
"Costco Wholesale Corp.","Costco Wholesale Corp.","Retail & Consumer Goods","Hyderabad",1,2,"","industry: Retail & Consumer Goods"
"Covestro AG","Covestro AG","Chemicals","Ankleshwar; Cuddalore; Navi Mumbai; Noida",4,9,"","city: Navi Mumbai"
"Croda International plc","Croda International plc","Chemicals","Ahmedabad; Bharuch; Hyderabad; Mumbai; Navi Mumbai",6,8,"","city: Navi Mumbai"
"Curia Global, Inc.","Curia Global, Inc.","Healthcare Life Sciences & Pharma","Hyderabad; Aurangabad; Navi Mumbai",4,7,"","city: Navi Mumbai"
"Daimler Truck Holding AG","Daimler Truck Holding AG","Automotive","Bengaluru; Chennai; Kanchipuram",3,25,"","industry: Automotive"
"Dana Inc.","Dana Inc.","Automotive","Pune; Chennai; Dharwad",5,23,"","industry: Automotive"
"Danfoss A/S","Danfoss A/S","Industrial","Pune; Chennai; Coimbatore; Kanchipuram; Navi Mumbai",7,32,"","city: Navi Mumbai"
"Danlaw, Inc.","Danlaw, Inc.","Automotive","Hyderabad",1,8,"","industry: Automotive"
"Danone S.A.","Danone S.A.","Retail & Consumer Goods","Mohali; Mumbai; New Delhi; Sonipat",4,24,"","industry: Retail & Consumer Goods"
"Deutsche Telekom AG","Deutsche Telekom AG","Telecom","Gurugram",1,20,"","industry: Telecom"
"Diageo plc","Diageo plc","Retail & Consumer Goods","Bengaluru; Gurugram; Mumbai; Ponda",5,60,"","industry: Retail & Consumer Goods"
"Dialogic Corp.","Dialogic Corp.","Telecom","Noida",1,0,"","industry: Telecom"
"Diversey, Inc","Diversey, Inc","Retail & Consumer Goods","Mumbai",1,8,"","industry: Retail & Consumer Goods"
"Dover Corp.","Dover Corp.","Industrial","Bengaluru; Chennai; Navi Mumbai",3,16,"","city: Navi Mumbai"
"Ekinops S.A.","Ekinops S.A.","Telecom","Bengaluru",1,2,"","industry: Telecom"
"Etihad Etisalat Co.","Etihad Etisalat Co.","Telecom","Bengaluru",1,2,"","industry: Telecom"
